peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K4me3_Rep1_S1	Naive_P14_Day30_H3K4me3_Rep2_S2	Naive_P14_Day30_H3K4me3_Rep3_S3	Naive_P14_Day30_H3K4me3_Rep4_S4	Naive_P14_Day32_H3K4me3_Rep1_S9	Naive_P14_Day32_H3K4me3_Rep2_S10	Naive_P14_Day32_H3K4me3_Rep3_S11	Naive_P14_Day32_H3K4me3_Rep4_S12	Arm_P14_Day30_H3K4me3_Rep1_S5
peak300	chr1	36903736	36905314	.	1579	80.16	85.28	82.5	81.67	58.76	54.24	65.23	48.1	46.96
peak301	chr1	36910534	36912581	.	2048	238.4	217.19	200.8	221.84	139.99	158.71	151.9	151.16	168.84
peak302	chr1	36914758	36915748	.	991	88.49	90.97	113.63	94.91	70.86	80.36	71.48	69.47	56.95
peak303	chr1	36919340	36920927	.	1588	289.41	249.03	291.09	283.64	200.48	223	188.53	205.36	90.92
peak304	chr1	36921532	36922967	.	1436	204.04	203.54	213.26	205.28	129.62	156.04	150.11	150.39	36.97
peak305	chr1	36928894	36929894	.	1001	80.16	79.6	107.41	78.36	45.8	51.57	40.21	37.41	52.95
peak306	chr1	36930629	36931786	.	1158	93.69	78.46	93.4	101.54	57.03	56.25	58.97	56.49	42.96
peak307	chr1	36936413	36940769	.	4357	965.04	976.79	994.68	987.77	1134.61	1167.25	1090.99	1208.5	790.26
peak308	chr1	36960009	36961471	.	1463	107.23	114.85	91.84	114.78	64.81	75.67	86.67	74.05	87.92
peak310	chr1	36999818	37001570	.	1753	206.13	225.15	183.68	230.66	166.78	179.47	174.24	167.95	250.77
peak311	chr1	37002161	37002864	.	704	35.4	17.06	24.91	20.97	13.83	17.41	13.4	9.16	34.97
peak312	chr1	37028108	37032034	.	3927	796.39	813.04	776.75	839.88	975.61	958.31	882.8	942.83	783.27
peak318	chr1	37299273	37302326	.	3054	453.89	421.87	421.84	438.15	530.58	508.29	514.67	484.77	584.46
peak319	chr1	37307271	37308575	.	1305	59.34	65.95	71.6	52.98	41.48	51.57	36.63	32.83	112.89
peak320	chr1	37309407	37312215	.	2809	97.86	102.34	118.3	118.09	40.61	44.2	42.89	36.64	172.84
peak321	chr1	37316400	37319078	.	2679	295.66	354.78	350.24	349.86	225.54	255.82	241.25	228.26	301.72
peak322	chr1	37326255	37328250	.	1996	42.68	29.57	38.92	25.38	12.96	14.06	19.66	16.8	206.81
peak324	chr1	37345810	37347978	.	2169	42.68	57.99	35.8	58.49	19.01	22.77	34.85	24.43	105.9
peak326	chr1	37428591	37431557	.	2967	541.34	565.15	549.49	565.07	719.83	715.22	733.58	719.14	558.48
peak327	chr1	37468681	37469663	.	983	74.95	72.78	76.27	68.43	50.12	50.23	40.21	52.68	77.93
peak328	chr1	37471132	37471929	.	798	69.75	60.27	60.71	79.46	45.8	49.56	44.68	53.44	43.96
peak329	chr1	37472737	37474772	.	2036	345.62	394.58	345.57	371.93	332.69	332.83	326.14	306.13	371.65
peak330	chr1	37477334	37479585	.	2252	613.17	623.14	600.86	626.88	704.27	660.97	671.04	616.08	688.36
peak331	chr1	37481004	37481762	.	759	122.84	97.79	115.19	116.99	88.14	88.4	97.39	106.12	104.9
peak332	chr1	37490841	37492453	.	1613	297.74	335.45	328.45	362	277.39	293.32	272.52	281.7	233.78
peak333	chr1	37494967	37497234	.	2268	535.09	511.7	526.14	537.48	555.64	573.25	619.21	613.03	580.46
peak334	chr1	37501875	37503828	.	1954	119.72	171.71	149.44	133.54	91.6	89.07	95.61	92.37	39.96
peak337	chr1	37539484	37542036	.	2553	398.72	415.05	412.5	418.29	455.4	439.98	458.38	451.18	375.65
peak338	chr1	37543711	37545170	.	1460	237.36	255.85	208.59	228.46	177.15	180.81	187.64	205.36	254.76
peak339	chr1	37585352	37586976	.	1625	250.89	283.14	266.18	246.12	207.39	254.48	223.38	254.22	162.85
peak340	chr1	37613609	37615842	.	2234	408.09	415.05	351.8	391.8	462.31	460.07	440.51	477.9	405.62
peak341	chr1	37696038	37697791	.	1754	174.89	206.96	214.81	195.35	162.46	164.74	142.96	130.55	25.98
peak342	chr1	37718737	37722071	.	3335	193.63	191.04	216.37	197.55	132.21	138.62	131.35	123.67	90.92
peak343	chr1	37846812	37849037	.	2226	29.15	31.84	38.92	32.01	15.55	18.75	21.44	14.51	42.96
peak344	chr1	37863939	37866726	.	2788	538.22	581.07	596.19	533.07	718.1	633.52	646.02	671.05	710.34
peak345	chr1	37871591	37873358	.	1768	363.32	360.47	333.12	349.86	397.5	401.14	422.64	419.88	386.64
peak346	chr1	37888918	37891949	.	3032	667.31	639.06	619.53	644.54	871.05	797.59	799.7	830.6	619.42
peak348	chr1	37996168	37999650	.	3483	932.77	892.64	868.59	877.41	1255.59	1156.54	1184.81	1211.55	982.09
peak350	chr1	38127037	38131135	.	4099	508.03	482.14	519.91	470.16	426.88	450.69	433.36	458.82	440.59
peak351	chr1	38394698	38396320	.	1623	125.97	100.07	108.96	94.91	57.9	59.6	75.06	66.42	33.97
peak352	chr1	38557325	38558914	.	1590	124.92	118.26	124.53	129.13	74.32	81.03	82.2	83.21	42.96
peak353	chr1	38579966	38582008	.	2043	110.35	110.3	138.54	115.88	69.13	78.35	61.65	69.47	77.93
peak354	chr1	38601396	38603376	.	1981	215.5	238.8	256.84	224.04	133.94	160.05	143.86	144.29	28.97
peak355	chr1	38627573	38629241	.	1669	259.22	292.24	275.52	246.12	257.51	264.52	260.91	274.07	120.89
peak356	chr1	38649149	38652192	.	3044	104.1	90.97	104.29	94.91	58.76	58.26	54.5	38.17	38.96
peak357	chr1	38657200	38659208	.	2009	285.24	302.47	272.41	334.41	230.72	250.46	252.87	237.42	286.73
peak358	chr1	38661838	38665404	.	3567	1189.91	1130.3	1055.39	1127.94	1547.67	1587.14	1495.76	1586.39	654.39
peak359	chr1	38693817	38696721	.	2905	545.5	598.13	586.85	615.84	441.57	438.64	464.63	485.54	316.71
peak361	chr1	38883142	38884683	.	1542	113.47	112.58	118.3	113.68	74.32	79.02	88.46	74.82	112.89
peak362	chr1	38885455	38886618	.	1164	100.98	114.85	93.4	111.47	82.09	90.41	67.91	74.82	77.93
peak363	chr1	38896181	38898903	.	2723	483.04	481	555.71	472.37	511.57	512.97	531.65	509.2	447.58
peak365	chr1	38986776	38989037	.	2262	482	487.83	449.86	463.54	556.5	536.41	562.92	561.88	453.58
peak366	chr1	39009880	39011313	.	1434	69.75	67.09	52.93	77.26	67.4	58.26	61.65	61.07	66.94
peak367	chr1	39024233	39026445	.	2213	221.74	227.42	267.74	222.94	189.25	151.35	183.17	171.77	406.62
peak368	chr1	39089399	39091792	.	2394	336.26	347.96	291.09	323.37	240.23	248.45	250.19	260.33	138.87
peak369	chr1	39096477	39098463	.	1987	487.21	482.14	470.1	482.3	430.34	402.48	388.68	426.75	171.84
peak370	chr1	39101739	39103142	.	1404	194.67	179.67	174.34	186.52	132.21	164.07	138.5	117.57	57.95
peak371	chr1	39105038	39105926	.	889	74.95	73.91	84.06	82.77	59.63	58.93	50.93	57.26	15.99
peak372	chr1	39185495	39186710	.	1216	79.12	78.46	79.39	78.36	40.61	51.57	53.61	46.57	12.99
peak373	chr1	39192252	39195483	.	3232	501.78	484.41	487.22	540.79	489.97	486.86	492.33	532.11	106.9
peak374	chr1	39196433	39197443	.	1011	57.26	78.46	60.71	68.43	47.53	40.85	56.29	57.26	49.95
peak375	chr1	39204243	39206115	.	1873	268.59	268.36	247.5	277.02	189.25	188.85	206.4	185.51	119.89
peak377	chr1	39280573	39281971	.	1399	118.68	100.07	82.5	99.33	88.14	80.36	84.88	79.4	13.99
peak379	chr1	39344257	39346116	.	1860	74.95	73.91	63.82	72.84	45.8	42.86	57.19	46.57	36.97
peak380	chr1	39366913	39369684	.	2772	576.74	542.41	535.48	570.59	820.07	744.01	800.6	863.43	577.46
peak384	chr1	39477448	39479974	.	2527	290.45	288.83	325.33	271.5	278.25	247.78	297.54	293.15	264.75
peak387	chr1	39534941	39537483	.	2543	389.35	368.43	382.93	412.77	438.12	464.09	461.06	440.5	419.61
peak388	chr1	39555057	39556739	.	1683	273.79	295.65	312.88	280.33	287.76	254.48	272.52	273.31	15.99
peak390	chr1	39574974	39578440	.	3467	665.22	645.89	646	625.77	773.4	767.45	744.31	743.57	686.36
peak391	chr1	39613556	39615720	.	2165	81.2	81.87	79.39	90.5	47.53	46.88	46.46	39.7	66.94
peak392	chr1	39649237	39651937	.	2701	270.67	263.81	281.75	261.57	168.51	172.11	183.17	175.59	138.87
peak394	chr1	39702229	39703518	.	1290	64.54	70.5	76.27	76.15	44.94	48.22	44.68	45.81	18.98
peak395	chr1	39710006	39711184	.	1179	80.16	81.87	66.93	73.95	57.9	52.9	53.61	42.75	27.97
peak396	chr1	39713549	39714893	.	1345	97.86	90.97	77.83	84.98	47.53	65.63	78.63	58.02	55.95
peak397	chr1	39719921	39721924	.	2004	71.83	53.44	68.49	48.56	50.12	48.22	40.21	36.64	34.97
peak398	chr1	39733659	39736749	.	3091	397.68	423.01	395.38	385.18	353.43	389.08	353.84	336.67	367.66
peak399	chr1	39746101	39747240	.	1140	74.95	110.3	126.09	99.33	70	66.97	72.38	73.29	38.96
peak400	chr1	39749114	39750467	.	1354	108.27	85.28	107.41	119.2	57.03	66.3	65.23	53.44	43.96
peak401	chr1	39760672	39762629	.	1958	201.96	180.8	210.14	213.01	167.64	140.63	162.62	154.21	134.87
peak403	chr1	39841819	39844113	.	2295	274.83	340	292.64	327.79	271.34	288.63	278.78	278.65	256.76
peak406	chr1	39895252	39897417	.	2166	299.82	261.54	297.31	285.85	218.63	224.34	206.4	193.91	178.83
peak407	chr1	39900027	39900863	.	837	104.1	89.83	94.95	92.71	105.42	106.48	103.65	106.88	96.91
peak408	chr1	39901217	39903658	.	2442	768.29	736.85	653.78	753.8	1037.83	1027.96	1000.75	1042.84	730.32
peak409	chr1	39904509	39905146	.	638	103.06	90.97	116.75	91.6	101.1	95.09	80.42	105.35	70.93
peak410	chr1	39906923	39907716	.	794	132.21	112.58	132.31	123.61	95.06	114.52	102.76	100.01	20.98
peak411	chr1	39910555	39912131	.	1577	84.32	59.13	98.07	78.36	66.54	58.93	63.44	49.62	47.96
peak412	chr1	39917195	39919175	.	1981	377.9	342.27	337.79	389.59	367.26	346.22	314.52	338.96	408.62
peak413	chr1	39922386	39924351	.	1966	458.06	438.93	393.82	396.21	461.45	478.82	466.42	453.47	519.52
peak414	chr1	39925607	39926572	.	966	138.46	103.48	107.41	116.99	101.97	98.44	82.2	76.34	50.95
peak415	chr1	39934642	39937205	.	2564	252.97	296.79	252.17	310.13	273.07	293.99	282.35	267.2	353.67
peak416	chr1	39941324	39943577	.	2254	233.19	168.29	193.02	215.21	117.52	140.63	118.84	118.33	103.9
peak418	chr1	39948581	39949894	.	1314	119.72	110.3	107.41	93.81	79.5	69.65	82.2	68.71	113.89
peak419	chr1	39953982	39955025	.	1044	103.06	89.83	101.18	116.99	60.49	62.95	58.97	51.91	53.95
peak421	chr1	39958768	39961886	.	3119	254.01	293.38	309.77	295.78	179.74	188.18	201.04	177.88	134.87
peak422	chr1	39975513	39977154	.	1642	79.12	86.42	59.15	90.5	42.34	40.85	54.5	43.52	40.96
peak424	chr1	39980449	39981581	.	1133	84.32	89.83	80.94	73.95	60.49	56.25	59.87	62.6	18.98
peak425	chr1	39986306	39987912	.	1607	35.4	34.11	51.37	39.73	19.01	26.12	23.23	26.72	230.79
peak429	chr1	40051312	40053626	.	2315	27.07	18.19	26.46	14.35	12.96	7.37	16.08	11.45	64.94
peak430	chr1	40084734	40087458	.	2725	301.9	319.53	331.56	302.4	241.09	255.15	270.74	255.75	375.65
peak433	chr1	40266362	40267703	.	1342	108.27	108.03	96.51	103.74	56.17	60.27	59.87	57.26	43.96
peak435	chr1	40270513	40272081	.	1569	137.42	139.87	133.87	137.96	68.27	84.38	54.5	86.27	86.92
peak438	chr1	40324073	40325839	.	1767	519.48	483.28	440.52	494.44	645.51	629.5	629.04	715.33	524.51
peak439	chr1	40359430	40361255	.	1826	19.78	23.88	23.35	27.59	19.88	7.37	13.4	10.69	55.95
peak440	chr1	40380008	40381638	.	1631	85.37	88.7	85.61	72.84	62.22	74.33	82.2	69.47	195.82
peak441	chr1	40382223	40383624	.	1402	162.4	181.94	158.78	185.41	106.29	110.5	117.05	109.93	224.79
peak442	chr1	40385628	40386824	.	1197	33.31	21.61	28.02	20.97	20.74	20.09	16.08	19.85	146.86
peak443	chr1	40391268	40394752	.	3485	47.89	38.66	48.26	34.21	18.15	23.44	31.27	24.43	406.62
peak444	chr1	40397082	40397930	.	849	12.49	19.33	20.24	20.97	4.32	8.04	7.15	10.69	78.93
peak445	chr1	40398936	40400418	.	1483	34.35	21.61	26.46	20.97	15.55	14.06	14.3	14.51	137.87
peak446	chr1	40465110	40470680	.	5571	798.48	743.68	712.93	788.01	827.84	781.52	718.39	794.72	1664.45
peak447	chr1	40473281	40474545	.	1265	257.14	246.76	258.4	263.77	186.65	200.9	220.7	190.86	219.8
peak448	chr1	40475443	40477372	.	1930	332.09	355.92	344.01	322.27	280.84	283.27	258.23	275.6	328.69
peak449	chr1	40479081	40480353	.	1273	151.99	164.88	161.89	125.82	104.56	103.8	116.16	101.54	192.82
peak450	chr1	40500553	40502882	.	2330	60.38	54.58	63.82	83.88	41.48	40.18	47.36	43.52	305.72
peak451	chr1	40504008	40505110	.	1103	37.48	48.9	43.59	44.15	17.28	27.46	24.13	22.9	50.95
peak452	chr1	40513803	40519080	.	5278	578.82	554.92	547.93	482.3	488.24	474.13	473.57	511.49	1799.32
peak453	chr1	40521713	40524808	.	3096	89.53	81.87	91.84	100.43	53.58	40.18	57.19	46.57	528.51
peak454	chr1	40542583	40545096	.	2514	39.56	42.07	38.92	59.6	33.7	24.11	35.74	22.9	88.92
peak456	chr1	40584985	40587307	.	2323	24.98	14.78	31.13	14.35	11.23	6.03	11.62	10.69	96.91
peak457	chr1	40623859	40625653	.	1795	35.4	31.84	31.13	27.59	12.1	16.07	17.87	10.69	31.97
peak459	chr1	40679652	40683370	.	3719	816.17	843.74	842.13	796.84	909.07	897.37	874.76	886.33	761.29
peak460	chr1	40687309	40689168	.	1860	156.16	154.65	132.31	164.45	104.56	106.48	95.61	117.57	58.95
peak461	chr1	40789419	40791421	.	2003	424.74	454.85	406.28	422.7	478.73	420.56	499.48	496.23	399.63
peak462	chr1	42693289	42696927	.	3639	345.62	347.96	333.12	356.48	245.41	291.31	280.57	264.91	218.8
peak463	chr1	42712325	42715163	.	2839	254.01	233.11	207.03	218.52	147.77	170.77	177.81	180.17	389.64
peak464	chr1	42794826	42796051	.	1226	52.05	50.03	51.37	30.9	49.26	46.21	63.44	59.55	34.97
peak465	chr1	42850502	42852742	.	2241	394.55	400.27	390.71	365.31	488.24	486.19	498.59	489.35	406.62
peak466	chr1	42951579	42954941	.	3363	247.77	276.32	222.6	258.26	148.63	190.19	190.32	193.15	298.72
peak467	chr1	43070078	43071577	.	1500	58.3	59.13	52.93	61.8	34.57	38.84	58.97	27.48	132.88
peak468	chr1	43091271	43093642	.	2372	372.69	397.99	322.22	385.18	434.66	411.85	417.28	416.83	335.69
peak469	chr1	43097430	43100006	.	2577	547.59	568.56	533.92	593.77	795.87	715.22	778.26	752.74	501.53
peak471	chr1	43127289	43128749	.	1461	43.72	35.25	32.69	26.49	30.24	20.09	21.44	21.38	102.9
peak472	chr1	43129362	43131149	.	1788	28.11	26.15	26.46	24.28	16.42	19.42	12.51	9.92	93.91
peak473	chr1	43138139	43139937	.	1799	22.9	26.15	28.02	32.01	31.11	22.77	35.74	26.72	92.91
peak474	chr1	43143541	43146509	.	2969	44.76	37.53	48.26	37.52	25.92	32.14	33.06	20.61	133.88
peak475	chr1	43162463	43165449	.	2987	460.14	461.67	401.61	470.16	553.05	524.36	530.75	526.76	459.57
peak476	chr1	43168563	43169480	.	918	38.52	26.15	24.91	26.49	11.23	11.38	20.55	13.74	51.95
peak477	chr1	43182075	43184185	.	2111	30.19	34.11	42.03	43.04	20.74	14.73	21.44	18.32	60.94
peak478	chr1	43190557	43192223	.	1667	10.41	9.1	14.01	15.45	5.18	4.69	14.3	5.34	72.93
peak480	chr1	43223640	43226119	.	2480	230.07	229.7	211.7	219.63	147.77	154.7	141.18	156.5	439.59
peak481	chr1	43240952	43242031	.	1080	21.86	15.92	17.12	16.55	8.64	11.38	10.72	12.98	48.95
peak483	chr1	43271422	43272973	.	1552	28.11	23.88	38.92	23.18	13.83	16.07	24.13	15.27	53.95
peak485	chr1	43360199	43362982	.	2784	460.14	459.4	395.38	483.4	418.24	437.97	406.55	451.18	441.59
peak490	chr1	43444769	43448404	.	3636	858.86	830.1	809.44	838.78	1028.32	995.81	1040.96	997.79	691.36
peak491	chr1	43452279	43453484	.	1206	129.09	128.49	163.45	146.79	99.38	81.7	83.1	82.45	123.88
peak492	chr1	43456349	43458108	.	1760	323.76	344.55	344.01	355.38	305.9	334.84	285.93	345.83	213.8
peak493	chr1	43459745	43460609	.	865	127.01	160.33	138.54	151.2	116.66	113.18	117.05	108.41	32.97
peak494	chr1	43463602	43466197	.	2596	411.21	408.23	407.83	431.53	347.38	375.02	399.41	380.95	399.63
peak495	chr1	43467428	43468553	.	1126	170.73	194.45	166.56	194.24	187.52	176.8	146.54	152.68	206.81
peak496	chr1	43471942	43473039	.	1098	123.88	109.16	93.4	112.57	72.59	91.08	92.03	87.03	74.93
peak497	chr1	43473504	43475352	.	1849	176.98	189.9	165	195.35	107.15	138.62	127.77	135.13	218.8
peak498	chr1	43486079	43487278	.	1200	51.01	46.62	37.36	49.66	32.84	42.86	39.32	30.54	52.95
peak499	chr1	43495731	43497047	.	1317	117.64	110.3	133.87	118.09	64.81	68.31	74.16	67.94	40.96
peak500	chr1	43499753	43501932	.	2180	308.15	312.71	312.88	299.09	201.34	234.39	228.74	225.97	134.87
peak502	chr1	43519178	43521626	.	2449	124.92	133.04	140.1	113.68	86.41	76.34	83.1	74.82	216.8
peak503	chr1	43533969	43536582	.	2614	191.55	179.67	200.8	167.76	95.92	112.51	110.8	116.04	489.54
peak504	chr1	43538601	43540608	.	2008	249.85	245.62	244.39	247.22	190.11	163.4	193	185.51	383.64
peak505	chr1	43541521	43543757	.	2237	525.72	526.49	515.24	540.79	492.56	515.65	506.63	535.16	651.39
peak506	chr1	43544096	43546083	.	1988	114.51	98.93	113.63	119.2	65.67	60.27	90.25	85.5	338.68
peak507	chr1	43557989	43558788	.	800	19.78	27.29	24.91	16.55	12.96	12.72	10.72	6.87	103.9
peak508	chr1	43560943	43564227	.	3285	400.8	465.08	442.08	449.19	326.64	357.61	377.07	338.96	705.34
peak509	chr1	43600716	43602074	.	1359	69.75	72.78	74.72	69.53	48.39	48.89	55.4	52.68	12.99
peak510	chr1	43641427	43643161	.	1735	33.31	32.98	23.35	29.8	11.23	12.72	25.02	15.27	74.93
peak512	chr1	43767648	43769776	.	2129	197.8	169.43	214.81	204.18	162.46	158.71	158.15	140.47	175.84
peak515	chr1	43825822	43828885	.	3064	541.34	554.92	498.12	516.51	608.35	627.49	654.06	661.89	595.45
peak516	chr1	43843037	43844210	.	1174	31.23	26.15	24.91	17.66	15.55	14.73	15.19	8.4	67.94
peak518	chr1	43879328	43881149	.	1822	109.31	145.55	132.31	136.85	107.15	94.42	96.5	111.46	112.89
peak519	chr1	43887159	43889306	.	2148	284.2	236.52	244.39	251.63	221.22	218.32	224.27	204.6	232.78
peak520	chr1	43896730	43897957	.	1228	56.22	81.87	63.82	64.01	62.22	57.59	42	61.84	99.91
peak521	chr1	43914507	43915898	.	1392	23.94	31.84	49.81	34.21	12.96	16.74	16.98	8.4	66.94
peak522	chr1	43932875	43937025	.	4151	1046.24	1051.84	1011.8	1006.54	1281.52	1202.74	1223.23	1202.39	1198.88
peak523	chr1	43939054	43939552	.	499	76	61.4	59.15	76.15	26.79	42.86	36.63	29.77	86.92
peak525	chr1	44023258	44025724	.	2467	31.23	22.74	28.02	29.8	22.47	16.74	11.62	9.16	39.96
peak526	chr1	44031836	44033911	.	2076	29.15	39.8	37.36	27.59	21.6	20.76	25.91	20.61	287.73
peak527	chr1	44041544	44042898	.	1355	235.27	244.48	236.61	243.91	297.26	309.39	296.65	325.22	244.77
peak528	chr1	44059792	44061846	.	2055	58.3	51.17	76.27	65.12	32.84	38.84	25.91	26.72	68.94
peak529	chr1	44100455	44102986	.	2532	389.35	386.62	378.26	381.87	538.36	493.55	531.65	518.36	447.58
peak530	chr1	44117577	44120708	.	3132	748.51	698.19	666.23	685.37	1057.7	1048.05	1022.19	1093.99	738.31
peak531	chr1	44121675	44123026	.	1352	272.75	231.97	225.71	248.32	205.66	233.05	246.61	232.08	241.77
peak532	chr1	44146859	44149455	.	2597	549.67	590.17	560.38	580.52	734.52	710.53	731.8	724.49	564.47
peak533	chr1	44197317	44199972	.	2656	87.45	88.7	77.83	83.88	44.07	33.48	39.32	29.01	60.94
peak534	chr1	44824040	44826254	.	2215	46.85	30.7	43.59	32.01	28.52	25.45	26.81	28.25	50.95
peak537	chr1	45794413	45797082	.	2670	531.97	541.27	462.32	503.27	700.82	601.37	691.59	645.86	485.55
peak540	chr1	46424799	46426207	.	1409	76	81.87	77.83	78.36	68.27	64.96	68.8	64.13	28.97
peak541	chr1	46849905	46850336	.	432	32.27	38.66	42.03	47.46	38.02	40.18	37.53	34.35	53.95
peak542	chr1	46851360	46855223	.	3864	643.36	711.84	667.79	686.48	896.11	844.46	845.27	858.09	799.26
peak543	chr1	46863280	46865336	.	2057	104.1	101.2	88.73	107.05	75.18	81.7	83.1	84.74	163.85
peak544	chr1	46873860	46875273	.	1414	72.87	90.97	71.6	82.77	51.85	48.89	58.08	49.62	45.96
peak546	chr1	46891605	46892818	.	1214	36.44	53.44	57.59	55.18	25.06	25.45	28.59	37.41	94.91
peak547	chr1	46893413	46895927	.	2515	238.4	260.4	252.17	263.77	279.12	269.21	260.02	283.23	231.78
peak549	chr1	46908091	46909479	.	1389	46.85	37.53	65.38	55.18	38.89	25.45	29.49	23.67	58.95
peak550	chr1	46921394	46923479	.	2086	105.14	85.28	85.61	94.91	46.66	56.92	83.1	56.49	61.94
peak552	chr1	50925717	50928727	.	3011	495.53	594.71	479.44	516.51	502.06	444.67	435.15	451.18	442.59
peak553	chr1	50962231	50963457	.	1227	112.43	102.34	105.85	93.81	81.23	91.75	90.25	69.47	33.97
peak555	chr1	51104138	51106985	.	2848	204.04	226.29	242.83	201.97	167.64	157.37	177.81	164.9	17.98
peak556	chr1	51120577	51121797	.	1221	73.91	59.13	84.06	57.39	57.03	54.91	52.72	56.49	11.99
peak558	chr1	51332472	51334498	.	2027	141.58	154.65	154.11	142.37	108.02	107.82	114.37	117.57	111.9
peak559	chr1	51360154	51362648	.	2495	106.19	96.66	98.07	93.81	58.76	66.97	64.33	54.97	61.94
peak560	chr1	51449509	51452213	.	2705	48.93	55.72	46.7	61.8	35.43	32.81	50.04	29.01	85.92
peak561	chr1	51466319	51467904	.	1586	43.72	51.17	65.38	58.49	31.97	32.14	34.85	32.83	96.91
peak562	chr1	51473059	51479515	.	6457	927.57	850.57	851.47	860.85	975.61	1042.02	963.22	1010.77	1222.86
peak564	chr1	51500513	51502107	.	1595	76	88.7	68.49	77.26	70	68.98	58.08	71.76	172.84
peak565	chr1	51507773	51509887	.	2115	46.85	75.05	66.93	68.43	37.16	44.87	45.57	34.35	146.86
peak566	chr1	51513967	51515194	.	1228	44.76	47.76	63.82	37.52	32.84	25.45	48.25	29.77	92.91
peak567	chr1	51518924	51520952	.	2029	37.48	32.98	37.36	25.38	20.74	21.43	18.76	25.19	81.92
peak568	chr1	51528794	51530452	.	1659	89.53	81.87	73.16	79.46	66.54	63.62	71.48	73.29	88.92
peak569	chr1	51531838	51532992	.	1155	14.57	13.65	21.79	9.93	12.1	6.03	20.55	4.58	26.97
peak570	chr1	51535468	51536957	.	1490	21.86	22.74	26.46	22.07	18.15	17.41	9.83	11.45	52.95
peak574	chr1	51570300	51571196	.	897	27.07	26.15	31.13	28.7	19.88	22.1	19.66	26.72	64.94
peak575	chr1	51571860	51573649	.	1790	63.5	73.91	68.49	80.57	66.54	52.23	55.4	48.86	162.85
peak576	chr1	51577424	51578448	.	1025	54.13	39.8	59.15	56.29	56.17	40.85	40.21	43.52	120.89
peak577	chr1	51584324	51586967	.	2644	323.76	328.63	314.44	299.09	259.24	277.92	277.89	294.68	427.6
peak578	chr1	51593407	51594782	.	1376	94.73	92.11	104.29	104.85	66.54	74.33	83.99	90.85	190.82
peak579	chr1	51596690	51598055	.	1366	189.47	208.09	189.91	195.35	218.63	219.65	201.94	213.76	136.87
peak580	chr1	51626131	51627276	.	1146	47.89	47.76	62.26	60.7	52.71	47.55	53.61	48.86	14.99
peak581	chr1	51819749	51821661	.	1913	14.57	15.92	38.92	14.35	6.05	7.37	11.62	5.34	99.91
peak583	chr1	51914188	51916898	.	2711	247.77	261.54	249.06	240.6	179.74	187.51	192.11	192.38	130.88
peak586	chr1	51934160	51935863	.	1704	197.8	186.49	147.88	179.9	142.58	145.32	124.2	136.65	197.82
peak587	chr1	52004139	52004797	.	659	72.87	71.64	73.16	73.95	69.13	81.7	75.06	96.19	94.91
peak588	chr1	52007867	52013727	.	5861	1333.57	1380.47	1299.78	1372.95	1802.59	1800.1	1720.93	1712.36	1561.55
peak589	chr1	52014021	52015178	.	1158	217.58	239.93	239.72	237.29	197.02	200.23	205.51	190.86	314.71
peak590	chr1	52018911	52020606	.	1696	327.93	260.4	292.64	281.43	277.39	277.25	255.55	267.96	445.59
peak591	chr1	52021826	52023158	.	1333	255.05	262.68	264.63	270.4	186.65	226.35	199.26	213.76	301.72
peak592	chr1	52027468	52028430	.	963	15.62	18.19	29.58	26.49	8.64	18.75	16.08	10.69	44.96
peak593	chr1	52034410	52035967	.	1558	90.57	89.83	85.61	78.36	52.71	42.86	44.68	45.81	259.76
peak594	chr1	52038976	52041562	.	2587	61.42	69.36	59.15	65.12	44.07	43.53	42.89	39.7	351.67
