peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27ac_Rep1_S1	Naive_P14_Day30_H3K27ac_Rep2_S2	Naive_P14_Day30_H3K27ac_Rep3_S3	Naive_P14_Day30_H3K27ac_Rep4_S4	Naive_P14_Day32_H3K27ac_Rep1_S9	Naive_P14_Day32_H3K27ac_Rep2_S10	Naive_P14_Day32_H3K27ac_Rep3_S11	Naive_P14_Day32_H3K27ac_Rep4_S12
peak309	chr1	39901182	39903521	.	2340	303.93	335.55	364.49	324.06	270.03	303.14	310.86	305.77
peak310	chr1	39904584	39905099	.	516	44.58	30.39	32.76	29.24	28.73	29.89	35.21	35.39
peak311	chr1	39916941	39919401	.	2461	304.74	289.35	274.39	298.07	296.46	250.84	275.64	305.77
peak312	chr1	39922360	39924206	.	1847	175.06	164.13	149.89	148.63	149.38	149.44	157.86	158.29
peak313	chr1	39934719	39937140	.	2422	112.66	130.08	118.77	118.58	96.52	128.09	115.36	106.18
peak314	chr1	39941560	39942306	.	747	38.09	26.75	33.58	43.86	29.88	34.16	14.57	27.53
peak315	chr1	39944073	39945411	.	1339	55.11	60.79	61.43	65.79	54.01	60.84	71.64	70.79
peak316	chr1	39948193	39949858	.	1666	57.54	49.85	67.98	53.6	55.16	60.84	70.43	57.03
peak317	chr1	39953889	39955001	.	1113	65.65	55.92	54.06	62.54	49.41	69.38	54.64	55.06
peak318	chr1	39960106	39961833	.	1728	58.35	60.79	49.14	50.35	57.45	64.04	66.79	45.23
peak319	chr1	39975665	39977024	.	1360	29.18	29.18	31.94	30.86	24.13	28.82	35.21	35.39
peak320	chr1	39978323	39979380	.	1058	40.52	36.47	36.86	47.11	44.81	51.24	43.71	48.18
peak321	chr1	39979840	39981627	.	1788	109.42	115.5	106.48	104.77	108.01	108.87	127.5	121.92
peak322	chr1	39985269	39988137	.	2869	37.28	43.77	32.76	36.55	50.56	38.43	36.43	60.96
peak323	chr1	40021886	40023303	.	1418	8.92	9.73	7.37	7.31	13.79	7.47	7.29	8.85
peak324	chr1	40045474	40047357	.	1884	15.4	10.94	11.47	6.5	18.39	17.08	15.79	8.85
peak325	chr1	40051681	40053804	.	2124	6.48	6.08	10.65	4.87	8.04	4.27	6.07	6.88
peak326	chr1	40059058	40060313	.	1256	6.48	6.08	4.91	4.87	8.04	5.34	4.86	5.9
peak327	chr1	40085006	40087550	.	2545	29.18	37.69	44.23	28.43	37.92	41.63	37.64	28.51
peak328	chr1	40270704	40271983	.	1280	26.75	21.88	38.5	35.74	33.32	23.48	27.93	31.46
peak331	chr1	40324141	40325733	.	1593	213.97	213.97	212.14	216.04	216.03	185.73	180.93	200.57
peak333	chr1	40380072	40383808	.	3737	145.89	156.83	140.06	141.32	141.34	161.18	143.29	174.03
peak334	chr1	40385900	40386778	.	879	8.92	8.51	10.65	7.31	5.75	3.2	10.93	5.9
peak335	chr1	40391472	40394238	.	2767	10.54	10.94	13.92	15.43	6.89	11.74	19.43	5.9
peak336	chr1	40397213	40398068	.	856	4.05	3.65	4.1	3.25	1.15	1.07	3.64	1.97
peak337	chr1	40399085	40400386	.	1302	6.48	3.65	8.19	8.93	2.3	6.4	4.86	4.92
peak338	chr1	40465205	40470859	.	5655	237.47	230.99	213.78	239.59	191.9	196.4	185.79	207.45
peak339	chr1	40472785	40474838	.	2054	260.17	278.41	254.73	276.14	253.95	210.28	248.93	245.8
peak340	chr1	40475217	40477381	.	2165	299.07	313.66	309.61	328.12	290.72	263.65	276.86	306.76
peak341	chr1	40479083	40480664	.	1582	95.64	113.06	117.13	113.7	106.86	107.81	97.14	115.03
peak342	chr1	40497192	40498033	.	842	3.24	8.51	4.1	6.5	6.89	3.2	4.86	2.95
peak343	chr1	40500488	40502967	.	2480	35.66	29.18	30.31	30.05	50.56	34.16	41.29	37.36
peak344	chr1	40513658	40519017	.	5360	222.07	238.29	247.36	294.01	218.33	248.7	223.43	271.36
peak345	chr1	40521976	40524802	.	2827	32.42	18.24	27.03	27.61	26.43	23.48	21.86	35.39
peak346	chr1	40532882	40534573	.	1692	1.62	7.29	1.64	4.06	4.6	4.27	4.86	6.88
peak347	chr1	40539328	40540783	.	1456	7.29	3.65	9.83	6.5	12.64	11.74	12.14	5.9
peak348	chr1	40541793	40544489	.	2697	20.26	15.8	13.92	7.31	9.19	9.61	19.43	9.83
peak350	chr1	40687451	40689286	.	1836	33.23	37.69	40.95	31.67	45.96	38.43	34	44.24
peak351	chr1	40789850	40791382	.	1533	40.52	51.06	57.34	40.61	35.62	38.43	41.29	43.26
peak352	chr1	42850531	42851953	.	1423	75.38	68.08	81.91	81.22	71.24	53.37	70.43	60.96
peak353	chr1	43069627	43071757	.	2131	46.2	31.61	42.59	52.79	52.86	40.56	38.86	58.99
peak354	chr1	43091534	43093385	.	1852	44.58	41.34	40.13	43.86	40.22	41.63	48.57	44.24
peak355	chr1	43097606	43099543	.	1938	272.32	295.43	280.13	334.62	367.71	383.2	392.22	353.95
peak356	chr1	43127093	43131322	.	4230	37.28	37.69	41.77	38.17	55.16	46.97	40.07	44.24
peak357	chr1	43138189	43139936	.	1748	3.24	3.65	2.46	5.69	5.75	5.34	13.36	7.87
peak358	chr1	43143459	43146104	.	2646	10.54	12.16	15.56	12.18	12.64	10.67	10.93	13.76
peak359	chr1	43162736	43164373	.	1638	25.13	31.61	31.13	30.86	32.17	27.75	31.57	20.65
peak361	chr1	43182141	43183876	.	1736	7.29	9.73	9.01	11.37	4.6	7.47	13.36	10.82
peak362	chr1	43223642	43226107	.	2466	56.73	80.24	62.25	75.53	45.96	64.04	61.93	57.03
peak363	chr1	43239763	43241926	.	2164	29.18	24.31	34.4	30.86	29.88	19.21	13.36	24.58
peak364	chr1	43360157	43362903	.	2747	71.32	91.18	65.53	78.78	82.73	72.58	60.71	66.86
peak366	chr1	43444492	43447987	.	3496	86.72	111.85	104.84	100.71	76.99	99.27	87.43	69.81
peak367	chr1	43456331	43458018	.	1688	147.51	166.56	195.76	191.67	150.53	150.5	140.86	164.19
peak368	chr1	43462592	43466293	.	3702	365.53	346.49	369.41	390.66	380.35	341.57	330.29	385.41
peak369	chr1	43467385	43468462	.	1078	110.23	85.1	119.59	99.9	83.88	90.73	88.64	86.52
peak370	chr1	43473503	43475340	.	1838	70.51	69.3	65.53	61.73	67.8	73.65	70.43	67.84
peak371	chr1	43485543	43487163	.	1621	28.37	27.96	28.67	24.37	28.73	32.02	30.36	18.68
peak372	chr1	43499521	43501953	.	2433	241.52	209.11	213.78	226.6	181.55	176.12	213.72	208.44
peak373	chr1	43516190	43517023	.	834	35.66	43.77	44.23	42.23	50.56	41.63	40.07	46.21
peak374	chr1	43518087	43521598	.	3512	184.79	159.26	167.91	187.61	198.79	188.93	176.07	184.84
peak375	chr1	43533866	43535509	.	1644	90.77	100.91	104.02	105.58	93.08	108.87	93.5	103.24
peak376	chr1	43536094	43540816	.	4723	298.26	324.6	309.61	326.49	345.87	313.82	343.65	340.18
peak377	chr1	43541311	43544063	.	2753	460.36	452.26	485.71	505.17	499.85	568.92	451.72	485.7
peak378	chr1	43557971	43559339	.	1369	25.13	29.18	13.92	19.49	22.98	24.55	15.79	15.73
peak379	chr1	43560508	43564550	.	4043	146.7	131.3	125.32	127.51	147.08	149.44	119	118.97
peak382	chr1	43766385	43767202	.	818	4.05	9.73	1.64	4.87	2.3	1.07	1.21	2.95
peak383	chr1	43767557	43770297	.	2741	98.88	100.91	92.56	112.89	126.4	105.67	94.71	112.08
peak384	chr1	43788493	43790217	.	1725	42.15	17.02	30.31	30.05	27.58	36.29	34	33.43
peak385	chr1	43826632	43829015	.	2384	110.23	111.85	116.31	125.89	91.93	106.74	91.07	88.49
peak386	chr1	43843006	43844486	.	1481	8.92	14.59	12.29	6.5	4.6	8.54	6.07	8.85
peak388	chr1	43879520	43881417	.	1898	62.41	69.3	45.05	50.35	41.37	43.76	53.43	44.24
peak389	chr1	43888016	43889218	.	1203	19.45	25.53	28.67	27.61	19.53	19.21	29.14	16.71
peak390	chr1	43896127	43897944	.	1818	41.33	55.92	25.39	46.29	41.37	36.29	38.86	26.55
peak392	chr1	43932613	43935865	.	3253	436.04	431.59	397.25	431.26	476.87	390.67	457.79	415.89
peak393	chr1	43936003	43936657	.	655	29.18	15.8	28.67	34.11	26.43	17.08	25.5	15.73
peak394	chr1	43938872	43940277	.	1406	43.77	42.55	45.87	56.85	48.26	49.1	52.21	55.06
peak395	chr1	43989241	43990705	.	1465	12.97	19.45	12.29	15.43	14.94	9.61	23.07	13.76
peak396	chr1	43995633	43998773	.	3141	29.99	25.53	44.23	32.49	25.28	33.09	29.14	30.48
peak397	chr1	44031948	44033801	.	1854	5.67	12.16	4.91	7.31	2.3	9.61	4.86	8.85
peak398	chr1	44041553	44042923	.	1371	48.63	35.26	52.42	55.23	52.86	41.63	44.93	57.03
peak400	chr1	44101009	44102963	.	1955	70.51	64.43	74.54	64.16	65.5	66.18	61.93	71.77
peak401	chr1	44117984	44120260	.	2277	81.86	77.81	104.84	106.39	94.22	89.66	99.57	81.61
peak402	chr1	44120910	44123264	.	2355	107.79	102.12	103.2	115.33	129.85	122.75	122.64	122.9
peak403	chr1	44147028	44149276	.	2249	150.75	137.38	148.25	138.07	134.44	140.9	172.43	149.45
peak404	chr1	45794291	45796385	.	2095	217.21	216.4	203.13	214.41	186.15	231.63	228.29	221.22
peak405	chr1	45815413	45817419	.	2007	29.99	20.67	18.02	36.55	14.94	16.01	20.64	25.56
peak408	chr1	46849940	46850383	.	444	21.88	14.59	18.02	18.68	36.77	16.01	20.64	28.51
peak409	chr1	46851336	46855238	.	3903	503.31	482.65	393.16	443.45	499.85	470.72	435.93	459.15
peak410	chr1	46863392	46865337	.	1946	55.92	58.36	67.98	63.35	81.58	64.04	59.5	80.62
peak411	chr1	46873264	46875072	.	1809	37.28	30.39	32.76	43.05	42.52	42.7	37.64	35.39
peak412	chr1	46886289	46887765	.	1477	32.42	18.24	19.66	20.3	25.28	22.42	29.14	26.55
peak413	chr1	46891713	46892904	.	1192	21.07	31.61	19.66	17.87	20.68	21.35	25.5	29.5
peak414	chr1	46893524	46895835	.	2312	171.01	161.69	160.54	170.56	172.36	151.57	172.43	190.74
peak415	chr1	46908233	46909414	.	1182	26.75	18.24	25.39	16.24	22.98	21.35	23.07	14.75
peak416	chr1	46921397	46923518	.	2122	42.96	44.98	43.41	43.05	32.17	53.37	47.36	43.26
peak418	chr1	51104089	51106898	.	2810	135.35	142.24	144.98	172.18	149.38	145.17	178.5	168.13
peak419	chr1	51120619	51121929	.	1311	33.23	29.18	35.22	38.17	34.47	27.75	26.71	37.36
peak421	chr1	51466453	51469502	.	3050	57.54	57.14	63.89	56.04	52.86	58.71	59.5	58.01
peak422	chr1	51473097	51473812	.	716	7.29	10.94	8.19	16.24	17.24	11.74	12.14	20.65
peak423	chr1	51476149	51479398	.	3250	193.71	240.72	176.1	181.11	224.07	220.95	207.64	234
peak424	chr1	51500313	51502875	.	2563	25.94	34.04	33.58	32.49	28.73	40.56	42.5	36.38
peak425	chr1	51508620	51509746	.	1127	9.73	10.94	10.65	6.5	5.75	6.4	10.93	4.92
peak426	chr1	51513909	51515326	.	1418	23.5	21.88	24.57	18.68	28.73	38.43	29.14	26.55
peak427	chr1	51518705	51520842	.	2138	14.59	15.8	13.92	17.06	17.24	11.74	10.93	17.7
peak428	chr1	51529356	51530418	.	1063	23.5	25.53	25.39	21.93	21.83	20.28	25.5	23.6
peak429	chr1	51530652	51532955	.	2304	9.73	10.94	9.83	14.62	9.19	11.74	8.5	5.9
peak430	chr1	51535246	51537049	.	1804	9.73	9.73	14.74	7.31	6.89	19.21	9.71	14.75
peak431	chr1	51569391	51571327	.	1937	42.96	51.06	33.58	46.29	40.22	40.56	57.07	47.19
peak432	chr1	51571904	51573328	.	1425	48.63	46.2	40.95	41.42	42.52	43.76	44.93	58.99
peak433	chr1	51577037	51579228	.	2192	108.61	142.24	111.39	121.83	140.19	146.23	131.14	132.73
peak434	chr1	51584316	51587127	.	2812	305.55	295.43	318.62	292.38	326.34	330.89	337.57	364.76
peak435	chr1	51593194	51594999	.	1806	29.18	32.83	38.5	37.36	51.71	58.71	49.79	50.14
peak436	chr1	51597022	51597860	.	839	25.13	27.96	31.13	27.61	32.17	29.89	23.07	24.58
peak439	chr1	51819864	51821419	.	1556	3.24	6.08	3.28	0.81	1.15	4.27	6.07	2.95
peak440	chr1	51933806	51936031	.	2226	278	282.05	258.83	312.69	338.98	324.49	307.22	332.32
peak441	chr1	52007630	52011939	.	4310	470.08	515.48	484.9	501.11	495.25	531.57	500.29	518.14
peak442	chr1	52012218	52013415	.	1198	106.17	89.97	95.83	101.52	96.52	107.81	77.71	97.34
peak443	chr1	52018919	52020619	.	1701	257.73	244.37	244.91	255.02	233.26	219.88	210.07	253.66
peak444	chr1	52021813	52023321	.	1509	230.99	254.09	210.5	210.35	206.83	197.47	214.93	217.29
peak445	chr1	52032745	52033644	.	900	27.56	27.96	31.13	33.3	21.83	27.75	26.71	40.31
peak446	chr1	52034315	52036182	.	1868	81.05	98.48	94.19	90.15	105.72	86.46	99.57	97.34
peak447	chr1	52039044	52041589	.	2546	29.18	41.34	38.5	36.55	42.52	35.22	35.21	42.28
peak448	chr1	52052083	52054522	.	2440	18.64	29.18	24.57	26.8	21.83	22.42	26.71	28.51
peak449	chr1	52055142	52056712	.	1571	35.66	26.75	24.57	43.05	29.88	27.75	27.93	24.58
peak450	chr1	52057982	52058608	.	627	11.35	4.86	9.83	19.49	16.09	21.35	12.14	23.6
peak451	chr1	52058982	52060043	.	1062	10.54	14.59	13.11	7.31	11.49	16.01	7.29	13.76
peak452	chr1	52065664	52068347	.	2684	51.06	36.47	39.32	42.23	36.77	43.76	48.57	46.21
peak453	chr1	52075421	52080571	.	5151	86.72	65.65	72.08	79.59	80.44	72.58	76.5	80.62
peak454	chr1	52082732	52083831	.	1100	6.48	9.73	7.37	8.12	10.34	7.47	9.71	15.73
peak455	chr1	52095159	52096806	.	1648	24.31	23.1	23.75	25.18	19.53	32.02	27.93	26.55
peak456	chr1	52099708	52101499	.	1792	87.53	69.3	76.17	88.53	87.33	85.39	76.5	80.62
peak457	chr1	52112907	52114202	.	1296	96.45	82.67	75.36	94.21	83.88	77.92	93.5	97.34
peak458	chr1	52116212	52117583	.	1372	37.28	37.69	48.33	33.3	25.28	36.29	24.29	25.56
peak459	chr1	52118502	52121174	.	2673	243.15	233.42	255.55	231.47	224.07	207.08	236.79	240.88
peak460	chr1	52129025	52130393	.	1369	47.01	24.31	49.14	56.04	64.35	51.24	59.5	54.08
peak461	chr1	52141626	52144524	.	2899	38.09	42.55	36.04	56.85	47.11	40.56	37.64	50.14
peak462	chr1	52149040	52151414	.	2375	80.24	99.69	120.4	90.96	89.63	115.28	98.36	93.4
peak463	chr1	52220600	52222026	.	1427	20.26	37.69	24.57	22.74	32.17	33.09	21.86	21.63
peak464	chr1	52226263	52226938	.	676	18.64	21.88	12.29	19.49	11.49	13.88	14.57	14.75
peak465	chr1	52230001	52230637	.	637	13.78	20.67	29.49	21.12	19.53	17.08	6.07	13.76
peak466	chr1	52230846	52234114	.	3269	278.81	260.17	260.47	235.53	219.47	245.5	200.36	235.97
peak467	chr1	52363236	52365039	.	1804	9.73	14.59	16.38	9.75	13.79	20.28	17	19.66
peak468	chr1	52365788	52367734	.	1947	17.02	13.37	21.3	12.18	19.53	17.08	19.43	20.65
peak469	chr1	52374279	52376587	.	2309	64.84	64.43	75.36	56.04	80.44	86.46	88.64	87.5
peak470	chr1	52387534	52389522	.	1989	21.07	29.18	25.39	23.55	25.28	41.63	30.36	34.41
peak471	chr1	52391829	52393492	.	1664	8.1	15.8	9.83	11.37	16.09	7.47	8.5	12.78
peak472	chr1	52419193	52420520	.	1328	2.43	6.08	2.46	0.81	4.6	5.34	2.43	0.98
peak474	chr1	52430171	52431606	.	1436	17.83	20.67	20.48	25.99	19.53	20.28	20.64	16.71
peak475	chr1	52450373	52451605	.	1233	8.1	12.16	9.83	13.81	13.79	9.61	9.71	9.83
peak476	chr1	52454093	52455298	.	1206	10.54	13.37	9.83	10.56	10.34	11.74	13.36	6.88
peak477	chr1	52491008	52494475	.	3468	59.98	70.51	82.73	76.34	90.78	83.26	68	90.45
peak478	chr1	52494775	52500128	.	5354	166.15	165.34	171.19	159.19	173.51	170.78	144.5	168.13
peak479	chr1	52500645	52502591	.	1947	100.5	92.4	93.38	91.78	101.12	95	105.64	111.1
peak480	chr1	52511456	52512661	.	1206	15.4	26.75	18.02	26.8	18.39	22.42	20.64	15.73
peak483	chr1	52576592	52580832	.	4241	145.08	122.79	143.34	148.63	173.51	182.53	204	192.71
peak484	chr1	52597600	52598922	.	1323	14.59	17.02	18.84	21.93	14.94	16.01	13.36	16.71
peak485	chr1	52606701	52608494	.	1794	94.02	110.63	131.05	121.01	132.14	133.42	120.22	143.55
peak486	chr1	52630314	52632222	.	1909	184.79	212.76	152.35	197.36	265.44	260.45	252.57	240.88
peak487	chr1	52649731	52655497	.	5767	551.94	548.3	543.87	518.98	523.98	520.89	522.15	594.83
peak488	chr1	52678503	52680101	.	1599	41.33	38.9	36.86	27.61	25.28	34.16	30.36	27.53
peak490	chr1	52725269	52727941	.	2673	59.98	75.38	63.07	42.23	62.05	53.37	64.36	57.03
peak491	chr1	52752914	52754639	.	1726	36.47	30.39	26.21	34.11	29.88	37.36	29.14	23.6
peak492	chr1	52763571	52764893	.	1323	27.56	23.1	23.75	31.67	28.73	23.48	37.64	31.46
peak493	chr1	52798024	52801874	.	3851	585.98	577.48	556.16	561.21	598.67	590.27	613.22	625.31
peak494	chr1	52815865	52818440	.	2576	108.61	86.32	104.84	99.09	95.37	101.4	100.79	118.97
peak495	chr1	52823636	52824871	.	1236	26.75	25.53	31.13	27.61	26.43	39.49	29.14	41.29
peak497	chr1	52844120	52846141	.	2022	265.03	223.7	217.88	243.65	225.22	259.38	239.22	247.76
peak498	chr1	52879378	52880771	.	1394	4.86	2.43	4.1	2.44	2.3	3.2	4.86	1.97
peak499	chr1	52900659	52902857	.	2199	21.88	19.45	16.38	17.87	9.19	9.61	8.5	16.71
peak500	chr1	52923262	52925271	.	2010	57.54	69.3	56.52	80.41	79.29	80.05	69.21	66.86
peak501	chr1	52951011	52953230	.	2220	37.28	47.41	34.4	25.18	41.37	29.89	34	31.46
peak502	chr1	53048284	53051584	.	3301	21.88	21.88	19.66	22.74	26.43	42.7	23.07	29.5
peak503	chr1	53149287	53150833	.	1547	12.16	13.37	18.02	14.62	10.34	8.54	15.79	12.78
peak505	chr1	53258162	53259208	.	1047	2.43	3.65	6.55	5.69	3.45	3.2	2.43	4.92
peak506	chr1	53263930	53265913	.	1984	32.42	21.88	26.21	29.24	40.22	11.74	26.71	29.5
peak507	chr1	53296326	53298042	.	1717	119.14	111.85	120.4	119.39	101.12	127.02	140.86	116.02
peak508	chr1	53312758	53314384	.	1627	151.56	151.97	153.17	151.06	196.49	172.92	179.72	166.16
peak509	chr1	53351395	53353070	.	1676	59.17	69.3	71.26	63.35	63.2	66.18	55.86	62.92
peak511	chr1	53772769	53777152	.	4384	381.74	443.75	402.99	429.64	336.68	435.5	389.79	407.04
peak512	chr1	53781015	53782655	.	1641	158.04	171.42	156.44	151.88	127.55	127.02	136	137.65
peak513	chr1	53784080	53784768	.	689	82.67	93.61	67.16	81.22	75.84	62.98	65.57	79.64
peak514	chr1	53790953	53792731	.	1779	179.93	173.85	191.66	167.31	150.53	179.32	185.79	176.97
peak515	chr1	53795146	53798368	.	3223	322.57	323.39	333.37	297.26	316	353.31	346.07	386.4
peak517	chr1	53823180	53825751	.	2572	282.86	279.62	300.6	296.44	316	295.67	273.22	317.57
peak518	chr1	53837470	53839228	.	1759	18.64	8.51	18.02	13.81	28.73	22.42	8.5	22.61
peak519	chr1	53842690	53843551	.	862	39.71	37.69	40.95	43.86	32.17	35.22	43.71	42.28
peak520	chr1	53844450	53847548	.	3099	162.91	147.11	129.41	130.76	142.49	155.84	144.5	144.53
peak521	chr1	53850241	53852641	.	2401	212.35	228.56	231.8	230.66	212.58	257.24	235.57	245.8
peak522	chr1	53856462	53857580	.	1119	25.13	34.04	41.77	29.24	32.17	30.95	40.07	31.46
peak523	chr1	53875214	53876706	.	1493	17.83	21.88	18.02	25.99	25.28	20.28	27.93	16.71
peak524	chr1	53882390	53884027	.	1638	30.8	43.77	41.77	40.61	31.03	27.75	24.29	29.5
peak525	chr1	53886391	53887825	.	1435	54.3	55.92	50.78	53.6	58.6	54.44	58.29	51.13
peak527	chr1	53888858	53890723	.	1866	50.25	51.06	62.25	58.48	48.26	54.44	48.57	66.86
peak529	chr1	53905979	53907478	.	1500	15.4	12.16	27.85	15.43	17.24	20.28	17	10.82
peak530	chr1	53935629	53937356	.	1728	22.69	35.26	23.75	27.61	28.73	24.55	25.5	32.45
peak531	chr1	53939940	53941090	.	1151	21.07	24.31	25.39	25.18	25.28	23.48	26.71	27.53
peak532	chr1	53944901	53946695	.	1795	28.37	30.39	17.2	22.74	41.37	32.02	40.07	31.46
peak533	chr1	54250097	54251553	.	1457	33.23	18.24	27.03	23.55	18.39	19.21	21.86	23.6
peak534	chr1	54279173	54280414	.	1242	26.75	26.75	30.31	24.37	28.73	32.02	26.71	41.29
peak536	chr1	54420900	54423105	.	2206	217.21	216.4	229.34	263.96	255.1	275.39	241.64	238.92
peak537	chr1	54437969	54439609	.	1641	119.14	89.97	117.95	131.57	119.5	109.94	106.86	102.25
peak538	chr1	54490781	54494779	.	3999	607.05	622.46	548.78	566.9	582.58	556.12	581.65	580.08
peak539	chr1	54503758	54504993	.	1236	32.42	23.1	27.85	20.3	29.88	29.89	36.43	34.41
peak540	chr1	54556393	54558521	.	2129	43.77	54.71	57.34	38.98	39.07	49.1	41.29	41.29
peak542	chr1	54584434	54586520	.	2087	61.6	74.16	67.16	67.41	49.41	68.31	44.93	52.11
peak543	chr1	54599894	54601545	.	1652	3.24	14.59	4.91	4.87	3.45	8.54	3.64	8.85
peak544	chr1	54660117	54661431	.	1315	8.92	14.59	6.55	10.56	13.79	18.15	13.36	6.88
peak545	chr1	54710057	54711502	.	1446	22.69	19.45	22.93	22.74	26.43	18.15	19.43	19.66
peak546	chr1	54738132	54739303	.	1172	22.69	10.94	12.29	12.18	17.24	13.88	14.57	14.75
peak548	chr1	54747425	54749906	.	2482	94.83	106.99	99.11	103.15	88.48	106.74	77.71	113.07
peak549	chr1	54798053	54801432	.	3380	98.07	88.75	103.2	103.96	137.89	153.71	125.07	124.87
peak550	chr1	54820287	54821862	.	1576	13.78	30.39	18.02	17.06	34.47	24.55	40.07	25.56
peak551	chr1	54827617	54829236	.	1620	29.99	37.69	31.13	40.61	44.81	41.63	30.36	49.16
peak552	chr1	54835055	54837320	.	2266	121.57	109.42	93.38	111.27	110.31	143.03	106.86	117.98
peak553	chr1	54839782	54842785	.	3004	162.1	155.62	176.92	179.49	164.32	157.98	176.07	173.04
peak554	chr1	54846269	54848127	.	1859	112.66	83.89	71.26	84.47	86.18	86.46	85	70.79
peak555	chr1	54852503	54855107	.	2605	113.47	138.6	135.97	129.14	117.21	129.16	138.43	157.31
peak556	chr1	54859442	54861304	.	1863	136.16	92.4	126.96	100.71	110.31	112.08	106.86	126.83
peak557	chr1	54865026	54866676	.	1651	174.25	125.22	151.53	155.94	155.13	186.79	179.72	180.91
peak558	chr1	54867218	54868282	.	1065	121.57	115.5	108.94	120.2	87.33	121.68	109.29	131.75
peak559	chr1	54870431	54872866	.	2436	350.94	341.62	352.2	337.05	320.59	337.3	381.29	355.92
peak560	chr1	54881083	54884217	.	3135	224.5	209.11	232.62	188.42	217.18	249.77	241.64	218.27
peak561	chr1	54888177	54889766	.	1590	84.29	77.81	93.38	71.47	86.18	72.58	85	78.66
peak562	chr1	54896028	54898703	.	2676	253.68	235.85	253.91	238.78	267.74	259.38	229.5	285.13
peak563	chr1	54901409	54902332	.	924	43.77	41.34	32.76	33.3	33.32	44.83	38.86	44.24
peak564	chr1	54906405	54908027	.	1623	136.97	131.3	122.04	142.94	142.49	121.68	121.43	135.68
peak565	chr1	54912324	54915800	.	3477	485.48	447.39	433.29	430.45	443.54	437.63	408	496.51
peak566	chr1	54921416	54925819	.	4404	568.15	502.1	547.96	450.76	417.12	458.98	414.07	442.44
peak567	chr1	55025777	55030163	.	4387	654.06	652.86	619.22	635.93	718.17	713.02	673.93	701.02
peak568	chr1	55030893	55031654	.	762	48.63	54.71	61.43	52.79	54.01	62.98	70.43	65.87
peak569	chr1	55042377	55043953	.	1577	10.54	7.29	9.83	12.18	13.79	14.94	8.5	21.63
peak570	chr1	55051657	55053800	.	2144	144.27	122.79	139.24	136.45	137.89	151.57	176.07	165.18
peak571	chr1	55086358	55089780	.	3423	98.07	127.65	125.32	116.95	132.14	129.16	125.07	125.85
peak572	chr1	55130259	55133161	.	2903	186.41	160.48	144.16	129.14	164.32	201.74	156.64	149.45
peak573	chr1	55149276	55150559	.	1284	25.13	23.1	30.31	15.43	16.09	28.82	18.21	27.53
peak574	chr1	55208483	55210925	.	2443	177.5	193.3	200.67	211.98	185	248.7	204	203.52
peak575	chr1	55214868	55216448	.	1581	121.57	103.34	141.7	106.39	113.76	99.27	132.36	125.85
peak576	chr1	55236640	55239635	.	2996	85.1	85.1	97.47	87.71	68.94	70.45	76.5	75.71
peak577	chr1	55240631	55242090	.	1460	42.96	29.18	36.86	40.61	34.47	24.55	29.14	34.41
peak580	chr1	55372027	55373299	.	1273	31.61	19.45	27.85	33.3	32.17	21.35	32.79	27.53
peak581	chr1	55404395	55407019	.	2625	42.15	37.69	54.06	47.11	42.52	39.49	35.21	33.43
peak582	chr1	55445923	55447322	.	1400	29.99	15.8	25.39	32.49	27.58	20.28	32.79	22.61
peak585	chr1	57376807	57378900	.	2094	77.81	69.3	73.72	75.53	74.69	69.38	69.21	75.71
peak586	chr1	57405670	57407975	.	2306	146.7	161.69	154.81	132.38	126.4	167.58	167.57	156.33
peak587	chr1	57435932	57437468	.	1537	27.56	35.26	36.04	29.24	40.22	34.16	29.14	32.45
peak588	chr1	57839362	57840921	.	1560	64.84	60.79	54.88	64.16	67.8	76.85	57.07	55.06
peak589	chr1	57968761	57970510	.	1750	61.6	65.65	80.27	71.47	78.14	75.79	78.93	80.62
peak590	chr1	57995294	57997537	.	2244	41.33	34.04	31.94	42.23	28.73	34.16	41.29	34.41
peak592	chr1	58194857	58196177	.	1321	23.5	15.8	31.13	14.62	17.24	19.21	27.93	23.6
peak593	chr1	58300493	58301716	.	1224	45.39	53.49	43.41	38.98	57.45	55.5	40.07	59.97
peak594	chr1	58302831	58304747	.	1917	64.84	69.3	58.15	57.66	80.44	64.04	75.29	75.71
peak595	chr1	58310593	58312322	.	1730	46.2	41.34	36.04	44.67	32.17	45.9	55.86	58.01
peak596	chr1	58391760	58394535	.	2776	107.79	127.65	96.65	105.58	103.42	105.67	99.57	107.17
peak597	chr1	58407530	58409457	.	1928	25.94	21.88	22.12	14.62	17.24	21.35	13.36	20.65
peak599	chr1	58422444	58424700	.	2257	217.21	246.8	204.77	230.66	214.88	247.64	246.5	217.29
peak600	chr1	58439655	58440598	.	944	29.99	23.1	25.39	17.06	28.73	35.22	21.86	27.53
